"selfgov_id","party_id","seats_pr","seats_smd","seats_mayor"
"24","independent",0,3,0
"24","unm",3,1,0
"25","burjanadze_united_opposition_2014",3,4,0
"25","gd",10,20,1
"25","independent",0,6,0
"25","unm",2,0,0
"26","burjanadze_united_opposition_2014",2,0,0
"26","gd",9,16,1
"26","independent",0,2,0
"26","unm",4,2,0
"27","gd",0,0,1
"28","gd",0,0,1
"29","burjanadze_united_opposition_2014",3,1,0
"29","gd",7,5,1
"29","labour",1,0,0
"29","our_georgia_2014",1,0,0
"29","patriots",2,0,0
"29","veterans_patriots_2014",1,0,0
"30","burjanadze_united_opposition_2014",2,0,0
"30","gd",9,9,1
"30","independent",0,7,0
"30","labour",1,0,0
"30","patriots",1,1,0
"30","unm",2,0,0
"32","gd",0,0,1
"33","burjanadze_united_opposition_2014",1,0,0
"33","gd",9,14,1
"33","georgias_way_2014",2,0,0
"33","independent",0,2,0
"33","labour",1,0,0
"33","unm",2,1,0
"35","burjanadze_united_opposition_2014",1,0,0
"35","gd",8,9,1
"35","independent",0,3,0
"35","labour",2,0,0
"35","patriots",1,1,0
"35","unm",3,0,0
"36","burjanadze_united_opposition_2014",2,0,0
"36","gd",8,9,1
"36","independent",0,2,0
"36","labour",1,0,0
"36","patriots",2,0,0
"36","unm",2,0,0
"37","gd",10,12,1
"37","unm",5,3,0
"39","burjanadze_united_opposition_2014",1,1,0
"39","gd",9,8,1
"39","independent",0,2,0
"39","patriots",1,0,0
"39","unm",4,1,0
"40","burjanadze_united_opposition_2014",1,0,0
"40","gd",8,18,1
"40","independent",0,2,0
"40","nonparliamentary_opposition_2014",4,2,0
"40","unm",1,0,0
"40","veterans_patriots_2014",1,0,0
"41","gd",11,8,1
"41","independent",0,1,0
"41","nonparliamentary_opposition_2014",0,1,0
"41","self_governance_people_2014",1,0,0
"41","unm",2,0,0
"41","veterans_patriots_2014",1,0,0
"43","burjanadze_united_opposition_2014",3,1,0
"43","gd",8,15,1
"43","patriots",1,0,0
"43","unm",3,2,0
"44","burjanadze_united_opposition_2014",2,0,0
"44","gd",10,18,1
"44","labour",1,0,0
"44","unm",2,0,0
"45","burjanadze_united_opposition_2014",2,0,0
"45","gd",8,8,1
"45","independent",0,6,0
"45","labour",1,0,0
"45","unm",3,2,0
"45","veterans_patriots_2014",1,0,0
"46","burjanadze_united_opposition_2014",1,0,0
"46","christian_democrats_2014",3,1,0
"46","gd",9,6,1
"46","nonparliamentary_opposition_2014",1,0,0
"46","unm",1,0,0
"47","burjanadze_united_opposition_2014",2,1,0
"47","gd",9,14,1
"47","georgias_way_2014",1,0,0
"47","greens_2014",1,0,0
"47","independent",0,1,0
"47","unm",2,0,0
"48","burjanadze_united_opposition_2014",1,0,0
"48","gd",9,19,1
"48","nonparliamentary_opposition_2014",2,0,0
"48","unm",3,0,0
"49","burjanadze_united_opposition_2014",3,0,0
"49","gd",21,24,1
"49","independent",0,2,0
"49","unm",6,6,0
"50","gd",0,0,1
"51","burjanadze_united_opposition_2014",2,2,0
"51","gd",8,13,1
"51","independent",0,2,0
"51","labour",1,0,0
"51","nonparliamentary_opposition_2014",1,0,0
"51","unm",3,1,0
"51","veterans_patriots_2014",0,1,0
"52","burjanadze_united_opposition_2014",5,1,0
"52","gd",15,24,1
"52","georgias_way_2014",1,0,0
"52","independent",0,3,0
"52","labour",1,0,0
"52","nonparliamentary_opposition_2014",0,1,0
"52","unm",8,4,0
"53","gd",0,0,1
"54","burjanadze_united_opposition_2014",1,1,0
"54","gd",9,13,1
"54","self_governance_people_2014",1,0,0
"54","unm",4,1,0
"55","burjanadze_united_opposition_2014",1,0,0
"55","gd",16,20,1
"55","georgias_way_2014",1,0,0
"55","patriots",2,0,0
"55","unm",9,8,0
"56","gd",0,0,1
"57","burjanadze_united_opposition_2014",5,0,0
"57","gd",14,21,1
"57","independent",0,4,0
"57","labour",1,0,0
"57","patriots",1,0,0
"57","unm",9,2,0
"58","gd",0,0,1
"59","burjanadze_united_opposition_2014",1,0,0
"59","gd",8,10,1
"59","labour",1,0,0
"59","patriots",1,0,0
"59","unm",4,0,0
"60","gd",0,0,1
"61","burjanadze_united_opposition_2014",2,0,0
"61","gd",19,30,1
"61","independent",0,7,0
"61","nonparliamentary_opposition_2014",0,2,0
"61","patriots",5,0,0
"61","unm",4,0,0
"62","burjanadze_united_opposition_2014",2,0,0
"62","gd",9,12,2
"62","independent",0,1,0
"62","unm",4,2,0
"63","burjanadze_united_opposition_2014",1,0,0
"63","gd",8,6,1
"63","georgias_way_2014",1,0,0
"63","independent",0,4,0
"63","unm",5,6,0
"64","burjanadze_united_opposition_2014",2,0,0
"64","gd",8,10,1
"64","independent",0,5,0
"64","labour",1,0,0
"64","unm",4,0,0
"65","burjanadze_united_opposition_2014",4,3,0
"65","freedom_zviads_way_2014",1,0,0
"65","gd",16,28,1
"65","independent",0,5,0
"65","nonparliamentary_opposition_2014",2,1,0
"65","unm",7,5,0
"66","gd",0,0,1
"67","gd",8,21,1
"67","independent",0,2,0
"67","unm",7,7,0
"68","burjanadze_united_opposition_2014",1,0,0
"68","gd",9,14,1
"68","sakhalkho_party_2014",1,0,0
"68","unm",4,0,0
"69","burjanadze_united_opposition_2014",1,0,0
"69","gd",8,4,1
"69","independent",0,8,0
"69","patriots",1,0,0
"69","unm",5,1,0
"70","burjanadze_united_opposition_2014",5,0,0
"70","gd",21,13,1
"70","georgias_way_2014",1,0,0
"70","independent",0,1,0
"70","patriots",4,1,0
"70","unity_hall_2014",1,0,0
"70","unm",8,0,0
"79","gd",0,0,1
"80","gd",0,7,1
"80","independent",0,2,0
"81","burjanadze_united_opposition_2014",3,0,0
"81","gd",16,22,1
"81","independent",0,2,0
"81","patriots",3,2,0
"81","unity_hall_2014",1,0,0
"81","unm",7,3,0
"82","gd",0,0,1
"83","burjanadze_united_opposition_2014",3,0,0
"83","gd",8,10,1
"83","patriots",1,0,0
"83","unm",3,1,0
"84","burjanadze_united_opposition_2014",2,1,0
"84","gd",9,8,1
"84","independent",0,2,0
"84","patriots",1,0,0
"84","unm",3,2,0
"171","gd",0,0,1
"271","burjanadze_united_opposition_2014",5,1,0
"271","gd",20,24,1
"271","greens_2014",1,0,0
"271","independent",0,9,0
"271","labour",5,0,0
"271","patriots",4,1,0
"271","sakhalkho_party_2014",2,0,0
"271","unm",3,0,0
"321","burjanadze_united_opposition_2014",2,0,0
"321","gd",11,20,1
"321","georgian_party_2014",7,3,0
"321","independent",0,2,0
"321","labour",1,0,0
"321","unm",4,0,0
"371","burjanadze_united_opposition_2014",1,0,0
"371","gd",6,5,1
"371","unm",3,0,0
"441","burjanadze_united_opposition_2014",1,0,0
"441","gd",6,5,1
"441","labour",1,0,0
"441","nonparliamentary_opposition_2014",1,0,0
"441","unm",1,0,0
"601","burjanadze_united_opposition_2014",2,0,0
"601","gd",13,23,1
"601","georgias_way_2014",1,0,0
"601","independent",0,9,0
"601","labour",1,0,0
"601","patriots",4,0,0
"601","unm",4,1,0
"671","burjanadze_united_opposition_2014",1,0,0
"671","gd",6,5,1
"671","unm",3,0,0
